,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,obs
21,2020-04-27,41.24315612458307,-7.6553535180867165,56.96404167549283,36.41273272967138,46.287623518429605,-15.924632310887846,-25.035983913230677,-7.291350956116648,-15.924632310887846,-25.035983913230677,-7.291350956116648,0.0,0.0,0.0,25.318523813695222,19.0
22,2020-04-28,41.50170201858069,10.792836158897297,74.66072651879527,36.6029328789186,46.5590555857785,2.5558595643119375,-5.905944687259992,10.439030294022153,2.5558595643119375,-5.905944687259992,10.439030294022153,0.0,0.0,0.0,44.057561582892625,46.0
23,2020-04-29,41.74889456012963,16.045685550646432,80.4436307502936,36.856209722424175,46.71290496460914,6.978257659924087,-2.4829622270221456,15.342380885488994,6.978257659924087,-2.4829622270221456,15.342380885488994,0.0,0.0,0.0,48.72715222005372,26.0
24,2020-04-30,41.99608710167858,16.633594667684587,84.40539465767243,37.006509322557605,47.048619704880316,8.872814294907952,-1.3782401332645353,18.998945277366513,8.872814294907952,-1.3782401332645353,18.998945277366513,0.0,0.0,0.0,50.86890139658654,46.0
25,2020-05-01,42.222151448519256,13.479954345935893,80.11611894049197,37.10776684069287,47.297562193681145,4.976326640139626,-3.956287924409185,13.48329556502707,4.976326640139626,-3.956287924409185,13.48329556502707,0.0,0.0,0.0,47.19847808865888,40.0
26,2020-05-02,42.448215795359935,9.113238548534465,78.41892628320608,37.21752959843936,47.48253697912801,1.4496898607368507,-8.310343296946229,11.454436496842884,1.4496898607368507,-8.310343296946229,11.454436496842884,0.0,0.0,0.0,43.89790565609679,50.0
27,2020-05-03,42.65422330858512,1.0769398598855262,65.43637624478238,37.44851932761606,47.75456715618221,-8.908315709140627,-17.736377732840655,-0.04551495393667537,-8.908315709140627,-17.736377732840655,-0.04551495393667537,0.0,0.0,0.0,33.74590759944449,33.0
28,2020-05-04,42.860230821810305,-5.176748871051723,59.48330848165325,37.55490337650291,47.91667868201956,-15.92463231088476,-25.0359839132198,-7.291350956118287,-15.92463231088476,-25.0359839132198,-7.291350956118287,0.0,0.0,0.0,26.935598510925544,19.0
29,2020-05-05,43.06623833503548,13.921400594253443,78.84267401088346,37.89993028050288,48.02756198816674,2.555859564324696,-5.9059446872565085,10.439030294051635,2.555859564324696,-5.9059446872565085,10.439030294051635,0.0,0.0,0.0,45.62209789936018,40.0
30,2020-05-06,43.24646813685914,16.957885998561096,83.59618570478818,38.058476325139544,48.188776421474415,6.978257659919935,-2.4829622269931177,15.342380885477867,6.978257659919935,-2.4829622269931177,15.342380885477867,0.0,0.0,0.0,50.224725796779076,27.0
31,2020-05-07,43.42669793868281,19.211283036756676,84.75457397082351,38.24435244598965,48.29538543957558,8.872814294902165,-1.378240133282474,18.99894527735968,8.872814294902165,-1.378240133282474,18.99894527735968,0.0,0.0,0.0,52.29951223358497,46.0
32,2020-05-08,43.57248026565637,16.42290444072574,83.20731457115838,38.454089603176456,48.36438661113066,4.976326640125261,-3.956287924422375,13.483295565017588,4.976326640125261,-3.956287924422375,13.483295565017588,0.0,0.0,0.0,48.548806905781625,32.0
33,2020-05-09,43.71826259262993,11.620684539949593,76.74429380144112,38.56829926965855,48.46339191647955,1.4496898607446678,-8.310343296951013,11.454436496865416,1.4496898607446678,-8.310343296951013,11.454436496865416,0.0,0.0,0.0,45.167952453374596,38.0
34,2020-05-10,43.80364025413432,-0.34801914658726957,68.14122542869782,38.56098837413024,48.51664214327884,-8.908315709145684,-17.736377732849792,-0.04551495395446072,-8.908315709145684,-17.736377732849792,-0.04551495395446072,0.0,0.0,0.0,34.89532454498864,46.0
35,2020-05-11,43.88901791563872,-8.06705595693215,59.54218024058979,38.65719472971913,48.766183188493656,-15.924632310872427,-25.035983913225692,-7.2913509560913745,-15.924632310872427,-25.035983913225692,-7.2913509560913745,0.0,0.0,0.0,27.964385604766292,29.0
36,2020-05-12,43.92252981061276,14.545784992400455,81.49136776673774,38.718088061294985,48.766650165769335,2.555859564335266,-5.9059446872374775,10.439030294047669,2.555859564335266,-5.9059446872374775,10.439030294047669,0.0,0.0,0.0,46.47838937494802,34.0
37,2020-05-13,43.956041705586806,15.050758523692426,83.23946341070992,38.82822046266722,48.78666294148939,6.978257659914963,-2.4829622270087355,15.342380885459185,6.978257659914963,-2.4829622270087355,15.342380885459185,0.0,0.0,0.0,50.93429936550177,83.0
38,2020-05-14,43.89453138141957,20.25587583046271,85.88734753379914,38.65243255413922,48.76483312816851,8.87281429489638,-1.3782401333004126,18.99894527735285,8.87281429489638,-1.3782401333004126,18.99894527735285,0.0,0.0,0.0,52.76734567631595,76.0
39,2020-05-15,43.833021057252324,14.518050589718566,79.0315305153268,38.685423071706126,48.79823130643644,4.976326640129226,-3.9562879244104527,13.483295565020313,4.976326640129226,-3.9562879244104527,13.483295565020313,0.0,0.0,0.0,48.809347697381554,94.0
40,2020-05-16,43.77151073308509,11.364712680789859,76.59506909057377,38.68248059843394,48.95192380911115,1.4496898607148507,-8.31034329697105,11.454436496816808,1.4496898607148507,-8.31034329697105,11.454436496816808,0.0,0.0,0.0,45.221200593799935,79.0
41,2020-05-17,43.61098552083176,0.7589554433459444,67.61861243143633,38.58084777101643,48.70663472650257,-8.908315709166319,-17.736377732854802,-0.045514953975483594,-8.908315709166319,-17.736377732854802,-0.045514953975483594,0.0,0.0,0.0,34.702669811665444,46.0
42,2020-05-18,43.45046030857845,-6.019518453602384,62.03973363914239,38.46266246523233,48.609401878471296,-15.924632310907182,-25.03598391323694,-7.29135095614834,-15.924632310907182,-25.03598391323694,-7.29135095614834,0.0,0.0,0.0,27.525827997671268,41.0
43,2020-05-19,43.18279653885585,12.323123704234877,78.16374005280397,38.29457108322767,48.38634843086042,2.5558595643458366,-5.905944687218445,10.439030294043706,2.5558595643458366,-5.905944687218445,10.439030294043706,0.0,0.0,0.0,45.738656103201684,96.0
44,2020-05-20,42.915132769133244,17.492376278046294,82.548674813256,37.8504591473734,48.25199570173556,6.978257659918092,-2.4829622270151197,15.342380885469217,6.978257659918092,-2.4829622270151197,15.342380885469217,0.0,0.0,0.0,49.89339042905134,65.0
45,2020-05-21,42.535282610208384,15.809406198912663,86.47618284682186,37.559509973641966,47.58486675196156,8.872814294890592,-1.3782401333183512,18.998945277346017,8.872814294890592,-1.3782401333183512,18.998945277346017,0.0,0.0,0.0,51.40809690509897,80.0
46,2020-05-22,42.15543245128353,14.246074961128041,77.62953198992196,37.30419976600118,47.344836122271055,4.976326640133191,-3.956287924398531,13.483295565023035,4.976326640133191,-3.956287924398531,13.483295565023035,0.0,0.0,0.0,47.131759091416725,70.0
47,2020-05-23,41.689470117447655,9.425321887062566,77.95230793144891,36.814858241481474,46.75595477260534,1.4496898607226676,-8.310343296975837,11.454436496839339,1.4496898607226676,-8.310343296975837,11.454436496839339,0.0,0.0,0.0,43.139159978170326,52.0
48,2020-05-24,41.22350778361178,0.34672118822078674,64.12850338582611,36.352155784766516,46.37910823647214,-8.908315709123997,-17.7363777328188,-0.04551495389126304,-8.908315709123997,-17.7363777328188,-0.04551495389126304,0.0,0.0,0.0,32.31519207448778,22.0
49,2020-05-25,40.68913790377313,-7.06419327647249,61.42637658128305,35.86684034848278,45.72111849189296,-15.924632310894847,-25.03598391324283,-7.29135095612142,-15.924632310894847,-25.03598391324283,-7.29135095612142,0.0,0.0,0.0,24.764505592878283,28.0
50,2020-05-26,40.154768023934494,8.825610921636551,74.11878909109964,35.468906539475114,45.06007552888278,2.555859564357501,-5.905944687207191,10.439030294056463,2.555859564357501,-5.905944687207191,10.439030294056463,0.0,0.0,0.0,42.710627588292,25.0
51,2020-05-27,39.620398144095844,13.352490934178938,78.08951755644466,34.84861144587945,44.60474857152724,6.978257659921219,-2.482962227021507,15.342380885479248,6.978257659921219,-2.482962227021507,15.342380885479248,0.0,0.0,0.0,46.59865580401706,39.0
52,2020-05-28,39.042333466890085,14.303047773579031,82.5556760580222,34.16846877781267,44.06207626419313,8.872814294913066,-1.3782401332453476,18.998945277373764,8.872814294913066,-1.3782401332453476,18.998945277373764,0.0,0.0,0.0,47.915147761803155,32.0
53,2020-05-29,38.464268789684326,10.509107114104669,76.90074088727273,33.60789983954323,43.72693549776138,4.976326640138301,-3.956287924420784,13.48329556502606,4.976326640138301,-3.956287924420784,13.48329556502606,0.0,0.0,0.0,43.44059542982263,34.0
54,2020-05-30,37.84972436461772,6.920737704339562,73.2505764353785,33.03233005123761,43.05606273241142,1.4496898607304838,-8.310343296980623,11.454436496861868,1.4496898607304838,-8.310343296980623,11.454436496861868,0.0,0.0,0.0,39.29941422534821,44.0
55,2020-05-31,37.235179939551124,-5.6553620779351705,60.94223453796034,32.275859751299336,42.60131298960089,-8.908315709129052,-17.736377732827936,-0.04551495390904709,-8.908315709129052,-17.736377732827936,-0.04551495390904709,0.0,0.0,0.0,28.32686423042207,25.0
56,2020-06-01,36.58514708154094,-12.87717331114231,53.85992748015675,31.605666909411486,42.06889853909759,-15.92463231089176,-25.03598391323195,-7.291350956123059,-15.92463231089176,-25.03598391323195,-7.291350956123059,0.0,0.0,0.0,20.66051477064918,11.0
57,2020-06-02,35.93511422353075,8.818970115918633,75.33552016949962,30.793683878838475,41.65511330780986,2.555859564369165,-5.905944687195932,10.439030294069225,2.555859564369165,-5.905944687195932,10.439030294069225,0.0,0.0,0.0,38.49097378789992,43.0
58,2020-06-03,35.28508136552057,9.6370915142989,75.91904443250888,29.801312197180625,41.21289065401717,6.978257659917065,-2.482962226992478,15.342380885468112,6.978257659917065,-2.482962226992478,15.342380885468112,0.0,0.0,0.0,42.26333902543763,40.0
59,2020-06-04,34.635048507510376,11.005743590853672,79.23987598214734,28.967844514790684,40.92109100295943,8.872814294893068,-1.3782401332942353,18.998945277354935,8.872814294893068,-1.3782401332942353,18.998945277354935,0.0,0.0,0.0,43.507862802403444,33.0
60,2020-06-05,33.9850156495002,4.501086410004287,69.81567604777578,28.000573971553905,40.47686575877855,4.976326640123935,-3.9562879244339753,13.483295565016578,4.976326640123935,-3.9562879244339753,13.483295565016578,0.0,0.0,0.0,38.961342289624135,30.0
61,2020-06-06,33.334982791490006,5.202033632894555,69.52937634358793,27.041807079426178,40.33153907386413,1.4496898607006663,-8.310343297000662,11.45443649681326,1.4496898607006663,-8.310343297000662,11.45443649681326,0.0,0.0,0.0,34.78467265219067,32.0
62,2020-06-07,32.68494993347982,-10.08091478985097,56.61430822377132,26.03392368475294,39.933145538684144,-8.908315709134111,-17.736377732837067,-0.045514953926832406,-8.908315709134111,-17.736377732837067,-0.045514953926832406,0.0,0.0,0.0,23.77663422434571,32.0
63,2020-06-08,32.034917075469636,-18.995987000284988,48.83950783010695,24.92176458752591,39.65616563929144,-15.924632310888677,-25.03598391322107,-7.2913509561247025,-15.924632310888677,-25.03598391322107,-7.2913509561247025,0.0,0.0,0.0,16.11028476458096,18.0
